,correct,predicted
0,24990,28322.368887210403
1,31900,28709.321881124917
2,12900,20363.45060630002
3,20750,22120.544059432068
4,19999,12859.314691919491
5,4950,-2707.9489257571954
6,12990,14250.746502738868
7,14998,18644.173041634465
8,3499,-1310.1575416973742
9,24990,24405.281038847854
10,8700,12502.591493578557
11,31944,42165.31295105453
12,62888,97140.8757573188
13,3500,1319.7604839475662
14,6990,7371.372764708358
15,24685,28437.532431240954
16,32950,86945.55629930919
17,18980,15760.56169995418
18,6900,7651.1618417241625
19,28890,28711.25624437366
20,28590,27247.09616380331
21,20999,18471.84926550459
22,10790,11939.608579568261
23,8930,8362.931509990081
24,9750,10358.573556005116
25,9900,4370.717955787288
26,6990,3949.1051210659743
27,6998,7401.483777046861
28,7490,6446.705123692955
29,9250,11480.179500807768
30,42999,28775.73523085342
31,38900,37334.83120855783
32,21330,20069.298646462285
33,15890,18716.295618423745
34,7990,7964.340251504697
35,4895,-4177.516463564734
36,11000,7464.782691901014
37,16900,23722.992122048854
38,21900,39663.03081474843
39,6972,5185.723844604981
40,13400,16828.408806002415
41,46990,57834.503376821165
42,13450,9695.173344026078
43,31999,40098.74221433342
44,38890,63833.66753068244
45,7780,9632.606249497438
46,7300,8420.19556756815
47,5999,6615.60859090716
48,10790,8898.473792285738
49,10800,14945.662816890996
50,7890,3417.055682372572
51,13690,16154.019828270904
52,8590,11392.151482298175
53,8300,14203.246980791253
54,14990,21858.30831394531
55,16570,18644.06250659168
56,4499,-2174.0094015819254
57,9990,11467.053868279225
58,79980,99578.38244447326
59,23900,30666.70175452776
60,17889,12859.314691919491
61,5390,2244.1108260808082
62,19960,23305.656885862223
63,6990,4639.71149249144
64,7870,7569.400437833106
65,35900,39122.29267429648
66,4500,-2616.8861451500225
67,12490,14742.915029609332
68,5990,-2467.207746544973
69,3890,-5735.850842081659
70,10450,9059.240521809954
71,7950,6546.191517319818
72,11499,14576.892933973788
73,33980,46101.08546208147
74,13369,14870.354829047443
75,18390,18643.896704027502
76,7999,12725.310133786626
77,8222,2090.829740097679
78,3990,3026.9649879998437
79,24490,26921.904673274727
80,98889,103286.16544000064
81,8338,9109.880821472276
82,10286,12714.272255025751
83,8990,5060.514256401213
84,17999,15636.212737739506
85,4900,-3821.4407270651645
86,6450,4977.670847179803
87,6600,5175.747277740262
88,8400,13243.05106350121
89,12390,13884.097977417554
90,4750,2817.1694569145884
91,102900,83270.37141128526
92,4500,333.0257415639528
93,10500,13047.74464199375
94,5399,4922.906060509715
95,11280,9285.785169255296
96,29900,32072.88502210156
97,18990,25112.30707481958
98,7260,9127.402875527398
99,16980,17712.312574124076
100,8999,823.3270098228663
101,9980,13723.451041144204
102,7660,5766.36937593614
103,5790,3386.82162648693
104,4700,3454.786371553808
105,6200,7838.619092138291
106,6500,14022.660306410928
107,12800,14335.546533710056
108,6950,5753.537640489987
109,6350,4527.711792281095
110,11990,12724.985394316638
111,17685,18641.68600317179
112,11900,8918.751665485168
113,47900,55274.26490815611
114,7450,1366.1286151246009
115,18195,7328.102439432399
116,7100,5244.241612037159
117,6000,3336.1114939434274
118,6950,13226.11862485834
119,11900,7598.638023367926
120,10799,6006.818392545367
121,9550,10213.19961044211
122,7970,13221.496633698951
123,14350,21481.420971041734
124,28249,31346.878784735538
125,9299,8566.756234685574
126,136900,63994.41222106238
127,27852,27076.92746543506
128,5000,2979.584010052124
129,8950,7628.353835350744
130,12990,14433.79442779256
131,2890,-1617.452557323165
132,38970,53079.57269164102
133,12999,11315.343003306312
134,5800,8266.211001320069
135,11990,8866.140753642738
136,8234,7411.870954055378
137,5799,2569.0838518701253
138,14990,13518.554802524095
139,23800,27179.47405337612
140,26940,27040.119296187495
141,8888,6569.164691692722
142,12650,15139.09914176559
143,17600,20809.30118171991
144,45870,61746.271928150774
145,14250,18658.888056539352
146,3999,-648.8782352824546
147,20900,24806.885512075158
148,37900,48006.11067594076
149,43850,34151.74337943584
150,3999,-841.2625830496509
151,11390,13612.675275118429
152,6300,1819.3398102636825
153,44975,28546.282693016332
154,25740,24676.756642557248
155,8700,8398.940146148841
156,10990,19363.71108479661
157,57850,55047.71576116353
158,13490,20614.149294030107
159,7140,4328.677247298705
160,5999,6546.191517319818
161,13000,5531.33590503485
162,13980,12851.216413177659
163,34725,34339.624914608234
164,16480,21772.361280004105
165,27850,31344.37531315073
166,10890,6729.039919643599
167,6950,6559.09073285426
168,6700,3684.897955794647
169,39999,27191.828642410568
170,17700,24615.575496375484
171,21950,25233.622005960457
172,7990,6177.368144744647
173,11200,6597.591043238849
174,11900,12643.342361385701
175,6480,6083.63075639819
176,24500,22157.013046747536
177,35850,37482.139613828665
178,3990,-2309.264515731719
179,6990,12054.700442833699
180,13989,16112.124086136211
181,6300,3729.8831327404423
182,36830,41628.7815359766
183,16990,20550.758274475513
184,10290,14431.583726936851
185,13900,18903.232989847715
186,5990,3107.5852644418746
187,3400,-537.1723923976765
188,21680,26770.570123350422
189,6500,1217.3496305909048
190,67990,75378.80981636893
191,17685,18641.68600317179
192,13500,14223.665417256425
193,11440,13361.514342030696
194,32399,45556.913081918756
195,3490,934.5252429866498
196,6970,7545.779698599569
197,27880,31706.254611306726
198,23850,28711.532581980628
199,8900,10518.303086578313
200,7950,12851.75087740602
201,22107,22015.259431178896
202,23990,26754.386210587025
203,31894,41601.840800963306
204,9250,8879.52993628189
205,3700,-1914.2561950106
206,13700,9664.566386042607
207,10999,19221.40919710219
208,4690,913.334716187733
209,7999,9802.457805077847
210,9489,10234.969686840732
211,17480,20968.199190585
212,3333,-2543.961429925631
213,6480,7630.483952805944
214,5800,4692.077756475792
215,6666,6291.803048725457
216,24990,20469.45714516048
217,7990,3511.2050398911215
218,6290,5500.656748059073
219,15850,19964.332008358237
220,4490,2205.814597608607
221,8980,14323.894577579274
222,7999,10566.800740402678
223,10999,15608.754250611992
224,22899,21846.08400956747
225,4999,-1010.2282997811199
226,20951,17367.12039536432
227,18890,26983.06500312462
228,29860,24834.195600019597
229,6870,5081.970486625268
230,9390,13571.839798040248
231,5900,-1873.9646134086306
232,16780,13884.374315024517
233,10400,13021.980977930247
234,10490,13880.83484742267
235,17990,23215.17602096588
236,10900,17857.465449601514
237,5770,1694.1428932187675
238,10828,16219.978961477285
239,33400,40138.95873904336
240,8199,7604.667510229852
241,29430,25585.18889168973
242,8390,6972.154860713487
243,17500,22630.274870609068
244,9200,15001.001114985298
245,13700,13875.084303514011
246,44900,32706.540058703198
247,16890,17911.70500381273
248,20990,30358.40202035886
249,26990,28709.321881124917
250,12250,17781.876508266247
251,7499,9442.094623587825
252,77770,69143.68625872192
253,7990,3456.0981103699432
254,22900,24724.664468172763
255,16450,24205.799006785794
256,12897,14385.935359612755
257,14640,16628.98784040206
258,26396,26977.666997013697
259,6990,6501.696307478733
260,8890,8581.855653109813
261,20680,25793.65798238315
262,34390,28676.16136828927
263,6990,1410.383573635582
264,19990,22755.18893996134
265,10880,8157.345821292169
266,19950,21700.600615558145
267,15790,14125.708186905485
268,11990,11822.660610100287
269,3990,3723.1108990609396
270,8290,6410.554405518615
271,6990,5679.138324925864
272,18990,21346.944081860274
273,8550,12774.266975590548
274,7580,5613.35030143537
275,3999,1142.3844967438138
276,6799,3461.662254739319
277,39950,57082.04128375161
278,8990,8982.416081606149
279,54500,44965.447249447876
280,8425,208.84615095855656
281,8800,8244.194894529446
282,45770,37427.86809087656
283,8950,11928.085608701016
284,7900,12514.553171787764
285,7498,2757.690258568799
286,8480,9615.61121908285
287,7950,6123.585030390585
288,34480,33985.94081525762
289,6300,6688.0105825598985
290,6799,9946.91785435057
291,11480,17190.3990146523
292,24950,27120.86514494229
293,2900,-577.4431377893593
294,5499,3247.7103341008187
295,17700,21895.44808832123
296,6490,4507.839042473804
297,12500,7852.974677148486
298,13950,14738.375987961577
299,10450,13101.33900401564
300,12985,15526.489563507408
301,8499,3699.914165593658
302,13250,13305.966339056436
303,9980,11832.814700307481
304,10490,14196.086924081446
305,26390,23799.306386942186
306,10500,-2719.1393079188865
307,62904,35812.93217377132
308,14988,20303.21090218287
309,28980,31491.18642706654
310,4950,3879.5467333106976
311,9990,6144.798998746097
312,23923,22951.733861013156
313,7500,6408.228630316056
314,9800,9049.168929082614
315,13795,14480.219856907835
316,5450,4090.7300870653557
317,18921,8272.59290964223
318,7900,10314.240715899025
319,12290,7779.94390655014
320,4490,-2674.0301569238077
321,10600,15172.071477198522
322,10890,10581.841438597929
323,2499,-5337.9720430772995
324,7390,5341.106279456597
325,24970,25068.58975425255
326,6400,2320.380005602791
327,28499,35557.082500459685
328,11490,12964.939924395505
329,6980,8686.698141191842
330,6299,8179.996014180108
331,7750,8762.031185800923
332,15490,14245.827693334913
333,6500,10826.470997462367
334,5290,5327.630003331253
335,8890,9771.910355049418
336,7000,7841.490378025996
337,18928,14820.948270268642
338,8499,12740.1762695584
339,5300,-2845.11001002012
340,14480,17961.4748972256
341,10588,17217.957499099866
342,27781,28262.810979786627
343,14350,15584.889574665745
344,12190,13682.495202445876
345,8990,12179.610703905686
346,7490,4110.4991674882285
347,23679,27518.041706372493
348,12250,16341.146204580458
349,28739,26204.682538980964
350,24950,32499.35230315186
351,22490,18078.068531153996
352,26500,28302.840510149414
353,17850,19741.907916742697
354,11380,12075.192241468325
355,9999,17310.130505133235
356,10000,17602.73592475253
357,13990,10063.454462772554
358,5900,1734.0510151217584
359,14999,12354.534439530562
360,21670,17948.24547897513
361,6490,720.0154364416062
362,22600,23574.20177230955
363,21474,25069.393334856817
364,28440,27159.220804788853
365,35980,38596.12053488006
366,21750,23876.957254498986
367,45450,34373.42140774212
368,17195,25118.112886249626
369,8900,6658.037827011245
370,18990,19742.18425434966
371,11990,13259.457229405742
372,4900,1559.7114449813355
373,4990,3037.3231969432854
374,5800,429.89040898339135
375,7500,10228.778561267593
376,10680,13740.568935505977
377,4200,7572.203831357561
378,4499,-2168.195302202763
379,10980,15836.681297237525
380,27990,27115.14301404766
381,12860,14263.485501852845
382,16450,17980.29687285946
383,18490,23857.48322101742
384,15200,22253.410517230306
385,6990,7678.110113784378
386,5498,6885.097169192721
387,13850,18641.68600317179
388,17489,24919.38106147138
389,12300,18468.32187425372
390,14450,15235.84498619313
391,12000,9678.945412609395
392,8800,3406.2883621567607
393,6800,7527.162340050726
394,4890,1602.9946740911544
395,30950,26336.729551422082
396,10200,20285.661405372684
397,28860,30969.3584224527
398,48250,14263.077437420123
399,12300,24648.818054659205
400,12000,13003.392052273843
401,12450,11877.247182160936
402,10999,11899.484714609818
403,21950,20614.346942437496
404,8880,13195.62241471425
405,5800,3517.721635958033
406,12490,13561.299566207086
407,39900,31300.23714065462
408,10248,11972.103987946259
409,5900,5889.707581432208
410,13000,14894.045557256484
411,7985,11225.352324871452
412,10499,13143.626331143918
413,8950,9475.283057648898
414,13750,19927.855444239027
415,5999,5931.922476893176
416,6400,6687.7729365761015
417,11480,13018.493085907012
418,7350,4862.745401164825
419,4350,-2992.427906174049
420,10998,11004.878816830194
421,9790,10410.396732117719
422,56990,59870.368813204506
423,14580,12237.219327148243
424,15890,15363.950129324072
425,11850,8975.957674222802
426,18581,19742.073719306874
427,5399,-319.3842823718576
428,9150,11456.965603194569
429,25890,24290.046362543053
430,14900,17442.016550251694
431,8480,5985.372680165638
432,32977,40504.5662968902
433,5780,3714.5705766070587
434,5980,5129.759489248885
435,7400,5417.0199602618495
436,7800,2518.7134960665867
437,12950,15912.891796287342
438,44870,42091.82914698962
439,48490,68454.73151919007
440,16414,17608.228322161376
441,15450,19024.10803059107
442,12490,13517.725789703203
443,67480,77990.22672098903
444,7939,5600.907176745575
445,14450,20051.977557306232
446,19990,22238.782835046797
447,4550,-1269.645285339343
448,9960,12627.259984570603
449,22480,27839.297126531204
