,correct,predicted
0,24990,26875.73649630777
1,31900,30008.019957767647
2,12900,17429.70395146791
3,20750,20853.841912194544
4,19999,18451.6079102844
5,4950,-115.12385950723183
6,12990,18233.762775862942
7,14998,19258.54184537045
8,3499,4051.301962025629
9,24990,28343.430213312844
10,8700,10450.592992366524
11,31944,46136.33097874544
12,62888,57524.750398133205
13,3500,4169.718592018073
14,6990,9903.250356443177
15,24685,24400.09652270347
16,32950,79820.19691880804
17,18980,23287.226865336143
18,6900,7707.754763973875
19,28890,29065.85350436619
20,28590,26562.29703670545
21,20999,23144.919237945156
22,10790,11857.207427159525
23,8930,9708.721839473812
24,9750,9526.371966850555
25,9900,6995.591335259414
26,6990,4836.410974619754
27,6998,6332.837562553985
28,7490,7171.363964442979
29,9250,11056.615261405113
30,42999,45370.16807047264
31,38900,40537.129775352776
32,21330,23727.408870906325
33,15890,17126.58606272938
34,7990,9274.835842522625
35,4895,-724.4507008371293
36,11000,9794.507788038023
37,16900,20064.744696602695
38,21900,27733.19734855489
39,6972,3454.736673042922
40,13400,11484.993552863296
41,46990,48196.90981213479
42,13450,13461.811622956411
43,31999,37176.11496131722
44,38890,51132.37471819174
45,7780,8955.86728788992
46,7300,8307.334447577507
47,5999,5748.8235525427135
48,10790,8803.933964050108
49,10800,11233.456914658836
50,7890,4927.4418974027885
51,13690,13135.191563739067
52,8590,9872.866868360856
53,8300,11073.972996688633
54,14990,15113.99796554728
55,16570,18970.692362392372
56,4499,332.13702597732845
57,9990,12076.788062983924
58,79980,71190.90912786945
59,23900,25156.615526450783
60,17889,17076.449769254934
61,5390,5143.305756449608
62,19960,19137.222688119353
63,6990,6147.834709323857
64,7870,8738.483217001296
65,35900,29154.526940717165
66,4500,-1990.2818466318968
67,12490,12858.478647128319
68,5990,842.4894088660021
69,3890,-2214.211930021138
70,10450,11924.568496629343
71,7950,8087.658444035442
72,11499,11438.644415672174
73,33980,34583.98923356813
74,13369,16313.133187383231
75,18390,23518.68717725111
76,7999,9112.865995241007
77,8222,4740.676695396049
